Candidate_ID,Requisition_ID,Requisition_Fill_Start_Date,Outcome,Job,Job_Status,Recruiter,Hiring_Manager,Origin,Source,Current_Interview_Stage,Furthest_Stage_Reached,Archive_Reason,Offer_Decline_Category,Candidate_Application_Date,Candidate_Stage_1_Interview_Date,Candidate_Stage_2_Interview_Date,Candidate_Offer_Stage_Entered_Date,Candidate_Offer_Accept_Date,Candidate_Start_Date
CAND-000013,R-ENG-1001-JustKaizen-0005,08/17/2024,Archived,Senior Site Reliability Engineer,closed,Susan Conley,Nathan Ortiz,applied,Career Page,Archived,Recruiter Screen,Not qualified,,08/20/2024,08/27/2024,,,,
CAND-000014,R-ENG-1001-JustKaizen-0005,08/17/2024,Archived,Senior Site Reliability Engineer,closed,Susan Conley,Nathan Ortiz,referred,Referral,Archived,Onsite,Position filled,,09/12/2024,09/19/2024,09/26/2024,10/03/2024,,
CAND-000015,R-ENG-1001-JustKaizen-0006,03/06/2022,Hired,Senior Software Engineer,closed,Kathleen Clark,Joshua Gutierrez,sourced,Talent Sourcer Outreach,Hired,Hired,,,03/19/2022,03/30/2022,04/07/2022,04/12/2022,04/16/2022,04/25/2022
CAND-000016,R-ENG-1001-JustKaizen-0006,03/06/2022,Archived,Senior Software Engineer,closed,Kathleen Clark,Joshua Gutierrez,referred,Referral,Archived,Applied,Not qualified,,04/02/2022,,,,,
CAND-000017,R-ENG-1001-JustKaizen-0006,03/06/2022,Archived,Senior Software Engineer,closed,Kathleen Clark,Joshua Gutierrez,referred,Referral,Archived,Offer,Offer declined,Career Growth,03/29/2022,04/05/2022,04/12/2022,04/19/2022,,
CAND-000018,R-ENG-1001-JustKaizen-0007,08/17/2025,Hired,Senior Software Engineer,closed,Michelle Wilson,Joshua Gill,applied,LinkedIn,Hired,Hired,,,08/22/2025,09/04/2025,09/16/2025,09/25/2025,09/29/2025,10/09/2025
CAND-000019,R-ENG-1001-JustKaizen-0007,08/17/2025,Archived,Senior Software Engineer,closed,Michelle Wilson,Joshua Gill,sourced,Talent Sourcer Outreach,Archived,Offer,Offer declined,Location,08/18/2025,08/25/2025,09/01/2025,09/08/2025,,
CAND-000020,R-ENG-1001-JustKaizen-0007,08/17/2025,Archived,Senior Software Engineer,closed,Michelle Wilson,Joshua Gill,referred,Referral,Archived,Recruiter Screen,Not qualified,,08/31/2025,09/07/2025,,,,
CAND-000021,R-ENG-1001-JustKaizen-0008,07/01/2024,Hired,Associate Site Reliability Engineer,closed,Patricia Ray,George Chapman,applied,Glassdoor,Hired,Hired,,,07/08/2024,07/18/2024,07/30/2024,08/04/2024,08/09/2024,09/03/2024
CAND-000022,R-ENG-1001-JustKaizen-0008,07/01/2024,Archived,Associate Site Reliability Engineer,closed,Patricia Ray,George Chapman,sourced,Talent Sourcer Outreach,Archived,Phone Screen,Not qualified,,07/04/2024,07/11/2024,07/18/2024,,,
CAND-000023,R-ENG-1001-JustKaizen-0008,07/01/2024,Archived,Associate Site Reliability Engineer,closed,Patricia Ray,George Chapman,applied,Career Page,Archived,Offer,Offer declined,Location,07/11/2024,07/18/2024,07/25/2024,08/01/2024,,
CAND-000024,R-ENG-1001-JustKaizen-0009,07/20/2023,Hired,DevEx Engineer,closed,Kathleen Clark,Shawn Decker,agency,Agency,Hired,Hired,,,07/27/2023,08/05/2023,08/17/2023,08/25/2023,09/01/2023,09/22/2023
CAND-000025,R-ENG-1001-JustKaizen-0009,07/20/2023,Archived,DevEx Engineer,closed,Kathleen Clark,Shawn Decker,sourced,Talent Sourcer Outreach,Archived,Onsite,Position filled,,08/02/2023,08/09/2023,08/16/2023,08/23/2023,,
CAND-000026,R-ENG-1001-JustKaizen-0009,07/20/2023,Archived,DevEx Engineer,closed,Kathleen Clark,Shawn Decker,sourced,Talent Sourcer Outreach,Archived,Applied,Not qualified,,07/27/2023,,,,,
CAND-000027,R-ENG-1001-JustKaizen-0009,07/20/2023,Archived,DevEx Engineer,closed,Kathleen Clark,Shawn Decker,applied,Job Board,Archived,Recruiter Screen,Not qualified,,08/05/2023,08/12/2023,,,,
CAND-000028,R-ENG-1001-JustKaizen-0010,11/28/2022,Hired,Associate Data Engineer,closed,Anna Briggs,Melanie Herrera,applied,Job Board,Hired,Hired,,,12/09/2022,12/22/2022,01/03/2023,01/08/2023,01/11/2023,01/29/2023
CAND-000029,R-ENG-1001-JustKaizen-0010,11/28/2022,Archived,Associate Data Engineer,closed,Anna Briggs,Melanie Herrera,agency,Agency,Archived,Offer,Offer declined,Career Growth,12/03/2022,12/10/2022,12/17/2022,12/24/2022,,
CAND-000030,R-ENG-1001-JustKaizen-0010,11/28/2022,Archived,Associate Data Engineer,closed,Anna Briggs,Melanie Herrera,agency,Agency,Archived,Onsite,Position filled,,12/02/2022,12/09/2022,12/16/2022,12/23/2022,,
CAND-000031,R-ENG-1001-JustKaizen-0010,11/28/2022,Archived,Associate Data Engineer,closed,Anna Briggs,Melanie Herrera,sourced,Talent Sourcer Outreach,Archived,Applied,Not qualified,,12/12/2022,,,,,
CAND-000032,R-ENG-1001-JustKaizen-0011,02/28/2025,Hired,AI/ML Engineer,closed,Jillian Wilson,Larry Dixon,applied,LinkedIn,Hired,Hired,,,03/05/2025,03/18/2025,03/31/2025,04/12/2025,04/19/2025,04/25/2025
CAND-000033,R-ENG-1001-JustKaizen-0011,02/28/2025,Archived,AI/ML Engineer,closed,Jillian Wilson,Larry Dixon,sourced,Talent Sourcer Outreach,Archived,Onsite,Position filled,,03/06/2025,03/13/2025,03/20/2025,03/27/2025,,
CAND-000034,R-ENG-1001-JustKaizen-0012,09/18/2022,Hired,Software Engineer,closed,Kimberly Williams,Mary Travis,referred,Referral,Hired,Hired,,,09/19/2022,09/28/2022,10/06/2022,10/16/2022,10/21/2022,11/22/2022
CAND-000035,R-ENG-1001-JustKaizen-0012,09/18/2022,Archived,Software Engineer,closed,Kimberly Williams,Mary Travis,applied,LinkedIn,Archived,Recruiter Screen,Not qualified,,09/29/2022,10/06/2022,,,,
CAND-000036,R-ENG-1001-JustKaizen-0012,09/18/2022,Archived,Software Engineer,closed,Kimberly Williams,Mary Travis,applied,LinkedIn,Archived,Recruiter Screen,Not qualified,,09/29/2022,10/06/2022,,,,
CAND-000037,R-ENG-1001-JustKaizen-0012,09/18/2022,Archived,Software Engineer,closed,Kimberly Williams,Mary Travis,applied,Glassdoor,Archived,Applied,Not qualified,,10/15/2022,,,,,
CAND-000038,R-ENG-1001-JustKaizen-0013,02/07/2023,Hired,Associate QA Engineer,closed,Rebekah Gregory,Derek Davidson,sourced,Talent Sourcer Outreach,Hired,Hired,,,02/17/2023,03/02/2023,03/10/2023,03/22/2023,03/25/2023,03/29/2023
CAND-000039,R-ENG-1001-JustKaizen-0013,02/07/2023,Archived,Associate QA Engineer,closed,Rebekah Gregory,Derek Davidson,agency,Agency,Archived,Recruiter Screen,Not qualified,,02/18/2023,02/25/2023,,,,
CAND-000040,R-ENG-1001-JustKaizen-0014,10/05/2021,Hired,Associate Infrastructure Engineer,closed,Kathleen Clark,George Shelton,sourced,LinkedIn,Hired,Hired,,,10/11/2021,10/21/2021,10/29/2021,11/06/2021,11/13/2021,11/24/2021
CAND-000041,R-ENG-1001-JustKaizen-0014,10/05/2021,Archived,Associate Infrastructure Engineer,closed,Kathleen Clark,George Shelton,applied,Glassdoor,Archived,Phone Screen,Not qualified,,10/06/2021,10/13/2021,10/20/2021,,,
CAND-000042,R-ENG-1001-JustKaizen-0015,11/20/2021,Hired,Senior Software Engineer,closed,Anna Briggs,Frank Wright,applied,LinkedIn,Hired,Hired,,,11/24/2021,12/03/2021,12/12/2021,12/18/2021,12/20/2021,01/16/2022
CAND-000043,R-ENG-1001-JustKaizen-0015,11/20/2021,Archived,Senior Software Engineer,closed,Anna Briggs,Frank Wright,referred,Referral,Archived,Phone Screen,Not qualified,,12/20/2021,12/27/2021,01/03/2022,,,
CAND-000044,R-ENG-1001-JustKaizen-0015,11/20/2021,Archived,Senior Software Engineer,closed,Anna Briggs,Frank Wright,referred,Referral,Archived,Applied,Not qualified,,12/14/2021,,,,,
CAND-000045,R-ENG-1001-JustKaizen-0016,10/19/2025,Hired,Software Engineer,closed,Michael Brown,Robert Keith,agency,Agency,Hired,Hired,,,10/24/2025,10/31/2025,11/14/2025,11/22/2025,11/26/2025,12/16/2025
CAND-000046,R-ENG-1001-JustKaizen-0016,10/19/2025,Archived,Software Engineer,closed,Michael Brown,Robert Keith,referred,Referral,Archived,Onsite,Position filled,,11/10/2025,11/17/2025,11/24/2025,12/01/2025,,
CAND-000047,R-ENG-1001-JustKaizen-0016,10/19/2025,Archived,Software Engineer,closed,Michael Brown,Robert Keith,referred,Referral,Archived,Offer,Offer declined,Accepted Other Offer,11/07/2025,11/14/2025,11/21/2025,11/28/2025,,
CAND-000048,R-ENG-1001-JustKaizen-0017,04/12/2023,Hired,Site Reliability Engineer,closed,Terri Moore,Jeffrey Holmes,applied,LinkedIn,Hired,Hired,,,04/14/2023,04/22/2023,05/05/2023,05/12/2023,05/15/2023,06/10/2023
CAND-000049,R-ENG-1001-JustKaizen-0017,04/12/2023,Archived,Site Reliability Engineer,closed,Terri Moore,Jeffrey Holmes,sourced,LinkedIn,Archived,Applied,Not qualified,,04/29/2023,,,,,
CAND-000050,R-ENG-1001-JustKaizen-0018,04/24/2023,Hired,Security Engineer,closed,Janice Jefferson,Zachary Huff,agency,Agency,Hired,Hired,,,04/27/2023,05/08/2023,05/17/2023,05/28/2023,06/01/2023,06/13/2023
CAND-000051,R-ENG-1001-JustKaizen-0018,04/24/2023,Archived,Security Engineer,closed,Janice Jefferson,Zachary Huff,sourced,Talent Sourcer Outreach,Archived,Recruiter Screen,Not qualified,,05/20/2023,05/27/2023,,,,
CAND-000052,R-ENG-1001-JustKaizen-0018,04/24/2023,Archived,Security Engineer,closed,Janice Jefferson,Zachary Huff,referred,Referral,Archived,Onsite,Position filled,,05/11/2023,05/18/2023,05/25/2023,06/01/2023,,
CAND-000053,R-ENG-1001-JustKaizen-0018,04/24/2023,Archived,Security Engineer,closed,Janice Jefferson,Zachary Huff,sourced,Talent Sourcer Outreach,Archived,Phone Screen,Not qualified,,05/19/2023,05/26/2023,06/02/2023,,,
CAND-000054,R-ENG-1001-JustKaizen-0019,03/15/2023,Hired,Senior AI/ML Engineer,closed,Michael Brown,Peter Harris,sourced,Talent Sourcer Outreach,Hired,Hired,,,03/24/2023,04/02/2023,04/12/2023,04/24/2023,05/01/2023,05/08/2023
CAND-000055,R-ENG-1001-JustKaizen-0019,03/15/2023,Archived,Senior AI/ML Engineer,closed,Michael Brown,Peter Harris,applied,LinkedIn,Archived,Phone Screen,Not qualified,,03/20/2023,03/27/2023,04/03/2023,,,
CAND-000056,R-ENG-1001-JustKaizen-0020,07/27/2023,Hired,Associate QA Engineer,closed,Tara Long,Stanley Suarez,applied,Career Page,Hired,Hired,,,08/04/2023,08/13/2023,08/20/2023,08/30/2023,09/01/2023,09/21/2023
CAND-000057,R-ENG-1001-JustKaizen-0020,07/27/2023,Archived,Associate QA Engineer,closed,Tara Long,Stanley Suarez,applied,Job Board,Archived,Offer,Offer declined,Personal,08/04/2023,08/11/2023,08/18/2023,08/25/2023,,
CAND-000058,R-ENG-1001-JustKaizen-0020,07/27/2023,Archived,Associate QA Engineer,closed,Tara Long,Stanley Suarez,applied,Glassdoor,Archived,Applied,Not qualified,,08/02/2023,,,,,
CAND-000059,R-ENG-1001-JustKaizen-0020,07/27/2023,Archived,Associate QA Engineer,closed,Tara Long,Stanley Suarez,internal,Internal,Archived,Onsite,Position filled,,08/09/2023,08/16/2023,08/23/2023,08/30/2023,,
CAND-000060,R-ENG-1001-JustKaizen-0021,06/21/2022,Hired,Senior Software Engineer,closed,Anna Briggs,Cody Robinson,sourced,Talent Sourcer Outreach,Hired,Hired,,,07/03/2022,07/10/2022,07/19/2022,07/31/2022,08/04/2022,08/23/2022
CAND-000061,R-ENG-1001-JustKaizen-0021,06/21/2022,Archived,Senior Software Engineer,closed,Anna Briggs,Cody Robinson,referred,Referral,Archived,Recruiter Screen,Not qualified,,06/24/2022,07/01/2022,,,,
CAND-000062,R-ENG-1001-JustKaizen-0021,06/21/2022,Archived,Senior Software Engineer,closed,Anna Briggs,Cody Robinson,applied,Glassdoor,Archived,Recruiter Screen,Not qualified,,07/02/2022,07/09/2022,,,,
CAND-000063,R-ENG-1001-JustKaizen-0022,10/10/2023,Hired,Senior Security Engineer,closed,Kimberly Williams,Kristen Reyes,referred,Referral,Hired,Hired,,,10/22/2023,11/04/2023,11/16/2023,11/24/2023,11/26/2023,12/01/2023
CAND-000064,R-ENG-1001-JustKaizen-0022,10/10/2023,Archived,Senior Security Engineer,closed,Kimberly Williams,Kristen Reyes,referred,Referral,Archived,Recruiter Screen,Not qualified,,10/23/2023,10/30/2023,,,,
CAND-000065,R-ENG-1001-JustKaizen-0022,10/10/2023,Archived,Senior Security Engineer,closed,Kimberly Williams,Kristen Reyes,applied,Career Page,Archived,Phone Screen,Not qualified,,10/26/2023,11/02/2023,11/09/2023,,,
CAND-000066,R-ENG-1001-JustKaizen-0023,03/24/2021,Hired,Infrastructure Engineer,closed,Kathleen Clark,Jared Martin,applied,Job Board,Hired,Hired,,,03/28/2021,04/04/2021,04/12/2021,04/17/2021,04/22/2021,05/15/2021
CAND-000067,R-ENG-1001-JustKaizen-0023,03/24/2021,Archived,Infrastructure Engineer,closed,Kathleen Clark,Jared Martin,agency,Agency,Archived,Offer,Offer declined,Personal,03/29/2021,04/05/2021,04/12/2021,04/19/2021,,
CAND-000068,R-ENG-1001-JustKaizen-0024,02/07/2023,Hired,Associate AI/ML Engineer,closed,Kathleen Clark,Eric Kelley,agency,Agency,Hired,Hired,,,02/19/2023,03/05/2023,03/16/2023,03/25/2023,03/28/2023,04/10/2023
CAND-000069,R-ENG-1001-JustKaizen-0024,02/07/2023,Archived,Associate AI/ML Engineer,closed,Kathleen Clark,Eric Kelley,sourced,Talent Sourcer Outreach,Archived,Applied,Not qualified,,02/11/2023,,,,,
CAND-000070,R-ENG-1001-JustKaizen-0025,09/16/2023,Hired,Senior Security Engineer,closed,Kimberly Williams,Johnny Miller,applied,LinkedIn,Hired,Hired,,,09/21/2023,10/05/2023,10/14/2023,10/25/2023,10/31/2023,11/16/2023
CAND-000071,R-ENG-1001-JustKaizen-0025,09/16/2023,Archived,Senior Security Engineer,closed,Kimberly Williams,Johnny Miller,applied,Career Page,Archived,Recruiter Screen,Not qualified,,10/10/2023,10/17/2023,,,,
CAND-000072,R-ENG-1001-JustKaizen-0025,09/16/2023,Archived,Senior Security Engineer,closed,Kimberly Williams,Johnny Miller,referred,Referral,Archived,Phone Screen,Not qualified,,09/24/2023,10/01/2023,10/08/2023,,,
CAND-000073,R-ENG-1001-JustKaizen-0026,01/15/2022,Hired,Software Engineer,closed,Anna Briggs,Christina Moran,sourced,Talent Sourcer Outreach,Hired,Hired,,,01/21/2022,02/02/2022,02/15/2022,02/21/2022,02/28/2022,03/15/2022
CAND-000074,R-ENG-1001-JustKaizen-0026,01/15/2022,Archived,Software Engineer,closed,Anna Briggs,Christina Moran,sourced,Talent Sourcer Outreach,Archived,Onsite,Position filled,,02/01/2022,02/08/2022,02/15/2022,02/22/2022,,
CAND-000075,R-ENG-1001-JustKaizen-0026,01/15/2022,Archived,Software Engineer,closed,Anna Briggs,Christina Moran,applied,LinkedIn,Archived,Phone Screen,Not qualified,,01/19/2022,01/26/2022,02/02/2022,,,
CAND-000076,R-ENG-1001-JustKaizen-0027,01/23/2023,Hired,Associate Software Engineer,closed,Jillian Wilson,Casey Rubio,sourced,Talent Sourcer Outreach,Hired,Hired,,,01/27/2023,02/10/2023,02/23/2023,03/03/2023,03/09/2023,03/18/2023
CAND-000077,R-ENG-1001-JustKaizen-0027,01/23/2023,Archived,Associate Software Engineer,closed,Jillian Wilson,Casey Rubio,agency,Agency,Archived,Recruiter Screen,Not qualified,,02/22/2023,03/01/2023,,,,
CAND-000078,R-ENG-1001-JustKaizen-0028,09/16/2021,Hired,Associate AI/ML Engineer,closed,Kathleen Clark,Zachary Hicks,applied,LinkedIn,Hired,Hired,,,09/19/2021,09/29/2021,10/11/2021,10/20/2021,10/26/2021,11/11/2021
CAND-000079,R-ENG-1001-JustKaizen-0028,09/16/2021,Archived,Associate AI/ML Engineer,closed,Kathleen Clark,Zachary Hicks,referred,Referral,Archived,Onsite,Position filled,,09/26/2021,10/03/2021,10/10/2021,10/17/2021,,
CAND-000080,R-ENG-1001-JustKaizen-0029,05/12/2025,Hired,Senior Data Engineer,closed,Terri Moore,Sarah White,referred,Referral,Hired,Hired,,,05/24/2025,06/03/2025,06/16/2025,06/28/2025,07/02/2025,07/07/2025
CAND-000081,R-ENG-1001-JustKaizen-0029,05/12/2025,Archived,Senior Data Engineer,closed,Terri Moore,Sarah White,referred,Referral,Archived,Applied,Not qualified,,05/21/2025,,,,,
CAND-000082,R-ENG-1001-JustKaizen-0029,05/12/2025,Archived,Senior Data Engineer,closed,Terri Moore,Sarah White,sourced,LinkedIn,Archived,Onsite,Position filled,,05/25/2025,06/01/2025,06/08/2025,06/15/2025,,
CAND-000083,R-ENG-1001-JustKaizen-0030,10/16/2025,Hired,Senior Software Engineer,closed,Sandra Garcia,Reginald Williams,referred,Referral,Hired,Hired,,,10/23/2025,10/30/2025,11/06/2025,11/18/2025,11/23/2025,12/18/2025
CAND-000084,R-ENG-1001-JustKaizen-0030,10/16/2025,Archived,Senior Software Engineer,closed,Sandra Garcia,Reginald Williams,applied,LinkedIn,Archived,Recruiter Screen,Not qualified,,10/20/2025,10/27/2025,,,,
CAND-000085,R-ENG-1001-JustKaizen-0030,10/16/2025,Archived,Senior Software Engineer,closed,Sandra Garcia,Reginald Williams,referred,Referral,Archived,Offer,Offer declined,Accepted Other Offer,10/20/2025,10/27/2025,11/03/2025,11/10/2025,,
CAND-000086,R-ENG-1001-JustKaizen-0030,10/16/2025,Archived,Senior Software Engineer,closed,Sandra Garcia,Reginald Williams,referred,Referral,Archived,Offer,Offer declined,Accepted Other Offer,11/13/2025,11/20/2025,11/27/2025,12/04/2025,,
CAND-000087,R-ENG-1001-JustKaizen-0031,12/04/2025,Hired,Senior Infrastructure Engineer,closed,Michael Brown,John Alexander,sourced,Talent Sourcer Outreach,Hired,Hired,,,12/17/2025,12/31/2025,01/09/2026,01/20/2026,01/24/2026,02/07/2026
CAND-000088,R-ENG-1001-JustKaizen-0031,12/04/2025,Archived,Senior Infrastructure Engineer,closed,Michael Brown,John Alexander,applied,LinkedIn,Archived,Applied,Not qualified,,12/11/2025,,,,,
CAND-000089,R-ENG-1001-JustKaizen-0031,12/04/2025,Archived,Senior Infrastructure Engineer,closed,Michael Brown,John Alexander,agency,Agency,Archived,Offer,Offer declined,Career Growth,12/25/2025,01/01/2026,01/08/2026,01/15/2026,,
CAND-000090,R-ENG-1001-JustKaizen-0032,10/20/2021,Hired,Senior Infrastructure Engineer,closed,Janice Jefferson,Lauren Kennedy,referred,Referral,Hired,Hired,,,10/27/2021,11/09/2021,11/22/2021,11/27/2021,12/01/2021,12/14/2021
CAND-000091,R-ENG-1001-JustKaizen-0032,10/20/2021,Archived,Senior Infrastructure Engineer,closed,Janice Jefferson,Lauren Kennedy,internal,Internal,Archived,Recruiter Screen,Not qualified,,10/26/2021,11/02/2021,,,,
CAND-000092,R-ENG-1001-JustKaizen-0032,10/20/2021,Archived,Senior Infrastructure Engineer,closed,Janice Jefferson,Lauren Kennedy,applied,Job Board,Archived,Phone Screen,Not qualified,,10/27/2021,11/03/2021,11/10/2021,,,
CAND-000093,R-ENG-1001-JustKaizen-0033,06/06/2023,Hired,Infrastructure Engineer,closed,Emily Rodgers,Christopher Daniel,sourced,LinkedIn,Hired,Hired,,,06/08/2023,06/19/2023,07/02/2023,07/12/2023,07/14/2023,08/03/2023
CAND-000094,R-ENG-1001-JustKaizen-0033,06/06/2023,Archived,Infrastructure Engineer,closed,Emily Rodgers,Christopher Daniel,applied,Career Page,Archived,Onsite,Position filled,,06/07/2023,06/14/2023,06/21/2023,06/28/2023,,
CAND-000095,R-ENG-1001-JustKaizen-0034,11/01/2024,Hired,Senior Software Engineer,closed,Patricia Ray,Nathan Ortiz,sourced,LinkedIn,Hired,Hired,,,11/09/2024,11/16/2024,11/27/2024,12/05/2024,12/10/2024,12/28/2024
CAND-000096,R-ENG-1001-JustKaizen-0034,11/01/2024,Archived,Senior Software Engineer,closed,Patricia Ray,Nathan Ortiz,agency,Agency,Archived,Onsite,Position filled,,11/04/2024,11/11/2024,11/18/2024,11/25/2024,,
CAND-000097,R-ENG-1001-JustKaizen-0034,11/01/2024,Archived,Senior Software Engineer,closed,Patricia Ray,Nathan Ortiz,referred,Referral,Archived,Phone Screen,Not qualified,,12/01/2024,12/08/2024,12/15/2024,,,
CAND-000098,R-ENG-1001-JustKaizen-0035,04/10/2023,Hired,Software Engineer,closed,Jillian Wilson,Diana Marshall,sourced,Talent Sourcer Outreach,Hired,Hired,,,04/13/2023,04/21/2023,05/01/2023,05/13/2023,05/19/2023,06/10/2023
CAND-000099,R-ENG-1001-JustKaizen-0035,04/10/2023,Archived,Software Engineer,closed,Jillian Wilson,Diana Marshall,agency,Agency,Archived,Onsite,Position filled,,05/05/2023,05/12/2023,05/19/2023,05/26/2023,,
CAND-000100,R-ENG-1001-JustKaizen-0035,04/10/2023,Archived,Software Engineer,closed,Jillian Wilson,Diana Marshall,applied,Glassdoor,Archived,Offer,Offer declined,Career Growth,04/21/2023,04/28/2023,05/05/2023,05/12/2023,,
CAND-000101,R-ENG-1001-JustKaizen-0035,04/10/2023,Archived,Software Engineer,closed,Jillian Wilson,Diana Marshall,applied,Glassdoor,Archived,Onsite,Position filled,,04/25/2023,05/02/2023,05/09/2023,05/16/2023,,
CAND-000102,R-ENG-1001-JustKaizen-0036,10/11/2023,Hired,QA Engineer,closed,Kathleen Clark,Robert Perez,sourced,Talent Sourcer Outreach,Hired,Hired,,,10/21/2023,10/31/2023,11/12/2023,11/23/2023,11/25/2023,12/15/2023
CAND-000103,R-ENG-1001-JustKaizen-0036,10/11/2023,Archived,QA Engineer,closed,Kathleen Clark,Robert Perez,referred,Referral,Archived,Phone Screen,Not qualified,,10/27/2023,11/03/2023,11/10/2023,,,
CAND-000104,R-ENG-1001-JustKaizen-0037,08/22/2022,Hired,Senior Infrastructure Engineer,closed,Rebekah Gregory,Katherine Chang,sourced,LinkedIn,Hired,Hired,,,09/04/2022,09/11/2022,09/22/2022,09/29/2022,10/04/2022,10/13/2022
CAND-000105,R-ENG-1001-JustKaizen-0037,08/22/2022,Archived,Senior Infrastructure Engineer,closed,Rebekah Gregory,Katherine Chang,referred,Referral,Archived,Offer,Offer declined,Personal,08/29/2022,09/05/2022,09/12/2022,09/19/2022,,
CAND-000106,R-ENG-1001-JustKaizen-0037,08/22/2022,Archived,Senior Infrastructure Engineer,closed,Rebekah Gregory,Katherine Chang,applied,Glassdoor,Archived,Onsite,Position filled,,09/19/2022,09/26/2022,10/03/2022,10/10/2022,,
CAND-000107,R-ENG-1001-JustKaizen-0037,08/22/2022,Archived,Senior Infrastructure Engineer,closed,Rebekah Gregory,Katherine Chang,applied,Career Page,Archived,Applied,Not qualified,,08/24/2022,,,,,
CAND-000108,R-ENG-1001-JustKaizen-0038,10/29/2024,Hired,Senior Infrastructure Engineer,closed,John Hernandez,Richard Weber,applied,Career Page,Hired,Hired,,,11/04/2024,11/15/2024,11/22/2024,12/01/2024,12/05/2024,12/20/2024
CAND-000109,R-ENG-1001-JustKaizen-0038,10/29/2024,Archived,Senior Infrastructure Engineer,closed,John Hernandez,Richard Weber,applied,Job Board,Archived,Offer,Offer declined,Accepted Other Offer,11/14/2024,11/21/2024,11/28/2024,12/05/2024,,
CAND-000110,R-ENG-1001-JustKaizen-0039,03/29/2025,Hired,Senior Infrastructure Engineer,closed,April Powers,Thomas Romero,applied,Career Page,Hired,Hired,,,03/31/2025,04/07/2025,04/20/2025,04/26/2025,05/01/2025,05/20/2025
CAND-000111,R-ENG-1001-JustKaizen-0039,03/29/2025,Archived,Senior Infrastructure Engineer,closed,April Powers,Thomas Romero,agency,Agency,Archived,Onsite,Position filled,,04/25/2025,05/02/2025,05/09/2025,05/16/2025,,
CAND-000112,R-ENG-1001-JustKaizen-0039,03/29/2025,Archived,Senior Infrastructure Engineer,closed,April Powers,Thomas Romero,referred,Referral,Archived,Offer,Offer declined,Personal,04/08/2025,04/15/2025,04/22/2025,04/29/2025,,
