employee_id,effective_date,change_type,old_department,new_department,old_sub_department,new_sub_department,old_job_level,new_job_level,old_job_title,new_job_title,old_manager_id,new_manager_id
dzuniga@justkaizen.com,03/18/2022,Hire,,Engineering,,Platform,,P1,,Associate Software Engineer,,crubio@justkaizen.com
mlynch@justkaizen.com,11/11/2020,Hire,,Engineering,,AI/ML,,P1,,Associate AI/ML Engineer,,zhicks@justkaizen.com
cdaniel@justkaizen.com,07/07/2024,Hire,,Engineering,,Data Engineering,,P3,,Senior Data Engineer,,swhite@justkaizen.com
cgray@justkaizen.com,12/18/2024,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,rwilliams@justkaizen.com
wbowman@justkaizen.com,02/07/2025,Hire,,Engineering,,Infrastructure,,P3,,Senior Infrastructure Engineer,,jalexander@justkaizen.com
jcohen@justkaizen.com,12/14/2020,Hire,,Engineering,,Infrastructure,,P3,,Senior Infrastructure Engineer,,lkennedy@justkaizen.com
jcohen@justkaizen.com,02/01/2023,Promotion,Engineering,Engineering,Infrastructure,Infrastructure,P2,P3,Infrastructure Engineer,Senior Infrastructure Engineer,lkennedy@justkaizen.com,lkennedy@justkaizen.com
rparsons@justkaizen.com,08/03/2022,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,cdaniel@justkaizen.com
rparsons@justkaizen.com,10/31/2023,Promotion,Engineering,Engineering,Infrastructure,Infrastructure,P1,P2,Associate Infrastructure Engineer,Infrastructure Engineer,cdaniel@justkaizen.com,cdaniel@justkaizen.com
djohnson@justkaizen.com,12/28/2023,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,nortiz@justkaizen.com
ladams@justkaizen.com,06/10/2022,Hire,,Engineering,,Platform,,P2,,Software Engineer,,dmarshall@justkaizen.com
ladams@justkaizen.com,10/01/2023,Promotion,Engineering,Engineering,Platform,Platform,P1,P2,Associate Software Engineer,Software Engineer,dmarshall@justkaizen.com,dmarshall@justkaizen.com
chahn@justkaizen.com,12/15/2022,Hire,,Engineering,,QA,,P2,,QA Engineer,,rperez@justkaizen.com
sedwards@justkaizen.com,10/13/2021,Hire,,Engineering,,Infrastructure,,P3,,Senior Infrastructure Engineer,,kchang@justkaizen.com
sedwards@justkaizen.com,06/26/2023,Promotion,Engineering,Engineering,Infrastructure,Infrastructure,P2,P3,Infrastructure Engineer,Senior Infrastructure Engineer,kchang@justkaizen.com,kchang@justkaizen.com
mfoster@justkaizen.com,12/20/2023,Hire,,Engineering,,Infrastructure,,P3,,Senior Infrastructure Engineer,,rweber@justkaizen.com
tellis@justkaizen.com,05/20/2024,Hire,,Engineering,,Infrastructure,,P3,,Senior Infrastructure Engineer,,tromero@justkaizen.com
jwright@justkaizen.com,06/26/2021,Hire,,Engineering,,Security,,P2,,Security Engineer,,dwalsh@justkaizen.com
jwright@justkaizen.com,04/28/2023,Promotion,Engineering,Engineering,Security,Security,P1,P2,Associate Security Engineer,Security Engineer,dwalsh@justkaizen.com,dwalsh@justkaizen.com
kbaker@justkaizen.com,06/27/2023,Hire,,Engineering,,Data Engineering,,P3,,Senior Data Engineer,,sshields@justkaizen.com
lhurst@justkaizen.com,05/18/2024,Hire,,Engineering,,Platform,,P1,,Associate Software Engineer,,zsantos@justkaizen.com
jrobinson@justkaizen.com,05/05/2022,Hire,,Engineering,,AI/ML,,P2,,AI/ML Engineer,,sjones2@justkaizen.com
zhicks@justkaizen.com,03/11/2020,Hire,,Engineering,,Data Engineering,,P2,,Data Engineer,,jcarpenter@justkaizen.com
bwilliams@justkaizen.com,08/31/2024,Hire,,Engineering,,AI/ML,,P1,,Associate AI/ML Engineer,,mgreen@justkaizen.com
bburton@justkaizen.com,04/29/2022,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,dmarshall@justkaizen.com
rhenderson@justkaizen.com,03/31/2020,Hire,,Engineering,,Developer Experience,,P1,,Associate DevEx Engineer,,rramirez@justkaizen.com
ajames@justkaizen.com,05/29/2021,Hire,,Engineering,,Security,,P2,,Security Engineer,,dleblanc@justkaizen.com
ajames@justkaizen.com,03/31/2023,Promotion,Engineering,Engineering,Security,Security,P1,P2,Associate Security Engineer,Security Engineer,dleblanc@justkaizen.com,dleblanc@justkaizen.com
zrice@justkaizen.com,01/19/2025,Hire,,Engineering,,QA,,P3,,Senior QA Engineer,,jvilla@justkaizen.com
wvalencia@justkaizen.com,09/15/2020,Hire,,Engineering,,DevOps & SRE,,P2,,Site Reliability Engineer,,agonzalez@justkaizen.com
wvalencia@justkaizen.com,04/16/2021,Promotion,Engineering,Engineering,DevOps & SRE,DevOps & SRE,P1,P2,Associate Site Reliability Engineer,Site Reliability Engineer,agonzalez@justkaizen.com,agonzalez@justkaizen.com
ale@justkaizen.com,06/22/2018,Hire,,Engineering,,QA,,P2,,QA Engineer,,rmoreno@justkaizen.com
mherrera@justkaizen.com,07/26/2024,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,blewis@justkaizen.com
ddavidson@justkaizen.com,03/13/2021,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,sedwards@justkaizen.com
dgraham@justkaizen.com,05/17/2022,Hire,,Engineering,,Security,,P3,,Senior Security Engineer,,briggs@justkaizen.com
jmckay@justkaizen.com,12/21/2022,Hire,,Engineering,,Data Engineering,,P3,,Senior Data Engineer,,jgutierrez@justkaizen.com
sbaker@justkaizen.com,12/27/2022,Hire,,Engineering,,DevOps & SRE,,P3,,Senior Site Reliability Engineer,,bwalker2@justkaizen.com
kwhite@justkaizen.com,08/21/2022,Hire,,Engineering,,QA,,P1,,Associate QA Engineer,,jphillips@justkaizen.com
sharrell@justkaizen.com,10/03/2022,Hire,,Engineering,,Data Engineering,,P3,,Senior Data Engineer,,jcosta@justkaizen.com
efowler@justkaizen.com,12/27/2022,Hire,,Engineering,,Platform,,P1,,Associate Software Engineer,,ajames@justkaizen.com
lhernandez@justkaizen.com,04/13/2024,Hire,,Engineering,,Developer Experience,,P2,,DevEx Engineer,,cdaniel@justkaizen.com
pryan@justkaizen.com,09/18/2020,Hire,,Engineering,,Security,,P3,,Senior Security Engineer,,jpennington@justkaizen.com
pryan@justkaizen.com,01/28/2022,Promotion,Engineering,Engineering,Security,Security,P2,P3,Security Engineer,Senior Security Engineer,jpennington@justkaizen.com,jpennington@justkaizen.com
rmoreno@justkaizen.com,01/12/2024,Hire,,Engineering,,AI/ML,,P3,,Senior AI/ML Engineer,,rpierce@justkaizen.com
rmoreno@justkaizen.com,08/11/2024,Promotion,Engineering,Engineering,AI/ML,AI/ML,P2,P3,AI/ML Engineer,Senior AI/ML Engineer,rpierce@justkaizen.com,rpierce@justkaizen.com
anguyen@justkaizen.com,06/25/2020,Hire,,Engineering,,QA,,P2,,QA Engineer,,jcohen@justkaizen.com
ahickman@justkaizen.com,05/27/2022,Hire,,Engineering,,Developer Experience,,P3,,Senior DevEx Engineer,,bbarton@justkaizen.com
sdecker@justkaizen.com,07/13/2021,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,ebyrd@justkaizen.com
ebrown@justkaizen.com,06/28/2022,Hire,,Engineering,,Data Engineering,,P3,,Senior Data Engineer,,bwalker2@justkaizen.com
sarroyo@justkaizen.com,02/23/2025,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,dbenson@justkaizen.com
btucker@justkaizen.com,09/30/2022,Hire,,Engineering,,AI/ML,,P1,,Associate AI/ML Engineer,,rlee@justkaizen.com
bhodges@justkaizen.com,02/27/2021,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,ebrown@justkaizen.com
randerson@justkaizen.com,05/03/2024,Hire,,Engineering,,Platform,,P2,,Software Engineer,,mfoster@justkaizen.com
jpierce@justkaizen.com,01/25/2023,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,raguilar@justkaizen.com
dbrennan@justkaizen.com,01/29/2023,Hire,,Engineering,,Data Engineering,,P3,,Senior Data Engineer,,dgarcia2@justkaizen.com
jlewis@justkaizen.com,10/23/2022,Hire,,Engineering,,AI/ML,,P3,,Senior AI/ML Engineer,,twhite@justkaizen.com
jlewis@justkaizen.com,12/29/2023,Promotion,Engineering,Engineering,AI/ML,AI/ML,P2,P3,AI/ML Engineer,Senior AI/ML Engineer,twhite@justkaizen.com,twhite@justkaizen.com
jblair@justkaizen.com,12/04/2020,Hire,,Engineering,,Data Engineering,,P2,,Data Engineer,,dwalsh@justkaizen.com
jblair@justkaizen.com,08/23/2022,Promotion,Engineering,Engineering,Data Engineering,Data Engineering,P1,P2,Associate Data Engineer,Data Engineer,dwalsh@justkaizen.com,dwalsh@justkaizen.com
ccollins@justkaizen.com,08/07/2022,Hire,,Engineering,,QA,,P3,,Senior QA Engineer,,jalexander@justkaizen.com
zsantos@justkaizen.com,09/26/2021,Hire,,Engineering,,AI/ML,,P2,,AI/ML Engineer,,sdecker@justkaizen.com
zsantos@justkaizen.com,06/15/2023,Promotion,Engineering,Engineering,AI/ML,AI/ML,P1,P2,Associate AI/ML Engineer,AI/ML Engineer,sdecker@justkaizen.com,sdecker@justkaizen.com
jholmes@justkaizen.com,08/31/2023,Hire,,Engineering,,QA,,P3,,Senior QA Engineer,,ddavenport@justkaizen.com
bwalker@justkaizen.com,01/30/2022,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,cdaniel@justkaizen.com
bwalker@justkaizen.com,08/16/2023,Promotion,Engineering,Engineering,Infrastructure,Infrastructure,P1,P2,Associate Infrastructure Engineer,Infrastructure Engineer,cdaniel@justkaizen.com,cdaniel@justkaizen.com
gchapman@justkaizen.com,04/15/2021,Hire,,Engineering,,AI/ML,,P2,,AI/ML Engineer,,larcher@justkaizen.com
drobinson@justkaizen.com,04/08/2022,Hire,,Engineering,,QA,,P2,,QA Engineer,,wriley@justkaizen.com
drobinson@justkaizen.com,10/06/2023,Promotion,Engineering,Engineering,QA,QA,P1,P2,Associate QA Engineer,QA Engineer,wriley@justkaizen.com,wriley@justkaizen.com
awelch@justkaizen.com,10/27/2020,Hire,,Engineering,,DevOps & SRE,,P2,,Site Reliability Engineer,,sdecker@justkaizen.com
cwhitehead@justkaizen.com,03/02/2021,Hire,,Engineering,,QA,,P2,,QA Engineer,,smartin@justkaizen.com
cwhitehead@justkaizen.com,02/14/2023,Promotion,Engineering,Engineering,QA,QA,P1,P2,Associate QA Engineer,QA Engineer,smartin@justkaizen.com,smartin@justkaizen.com
sjones@justkaizen.com,07/23/2023,Hire,,Engineering,,Data Engineering,,P2,,Data Engineer,,sgilbert@justkaizen.com
sjones@justkaizen.com,02/16/2024,Promotion,Engineering,Engineering,Data Engineering,Data Engineering,P1,P2,Associate Data Engineer,Data Engineer,sgilbert@justkaizen.com,sgilbert@justkaizen.com
dcaldwell@justkaizen.com,09/12/2021,Hire,,Engineering,,AI/ML,,P3,,Senior AI/ML Engineer,,nortiz@justkaizen.com
danderson@justkaizen.com,04/15/2021,Hire,,Engineering,,AI/ML,,P2,,AI/ML Engineer,,zrice@justkaizen.com
tduncan@justkaizen.com,05/13/2020,Hire,,Engineering,,QA,,P2,,QA Engineer,,jadkins2@justkaizen.com
jmueller@justkaizen.com,09/12/2024,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,jgill@justkaizen.com
rlee@justkaizen.com,11/25/2022,Hire,,Engineering,,Data Engineering,,P2,,Data Engineer,,cgray@justkaizen.com
bjordan@justkaizen.com,10/06/2020,Hire,,Engineering,,DevOps & SRE,,P1,,Associate Site Reliability Engineer,,jcallahan@justkaizen.com
jowens@justkaizen.com,01/18/2019,Hire,,Engineering,,Infrastructure,,P1,,Associate Infrastructure Engineer,,jpierce@justkaizen.com
mnunez@justkaizen.com,03/12/2018,Hire,,Engineering,,DevOps & SRE,,P1,,Associate Site Reliability Engineer,,jcallahan@justkaizen.com
wgarcia@justkaizen.com,07/11/2022,Hire,,Engineering,,Security,,P3,,Senior Security Engineer,,jwolfe@justkaizen.com
jmorgan@justkaizen.com,01/09/2021,Hire,,Engineering,,Security,,P3,,Senior Security Engineer,,vsandoval@justkaizen.com
swright@justkaizen.com,12/11/2024,Hire,,Engineering,,Data Engineering,,P2,,Data Engineer,,wramirez@justkaizen.com
cwest@justkaizen.com,05/04/2022,Hire,,Engineering,,DevOps & SRE,,P1,,Associate Site Reliability Engineer,,drobinson@justkaizen.com
rramirez@justkaizen.com,07/11/2021,Hire,,Engineering,,QA,,P2,,QA Engineer,,sgilbert@justkaizen.com
dleblanc@justkaizen.com,02/11/2021,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,crobinson@justkaizen.com
dleblanc@justkaizen.com,01/21/2023,Promotion,Engineering,Engineering,Platform,Platform,P2,P3,Software Engineer,Senior Software Engineer,crobinson@justkaizen.com,crobinson@justkaizen.com
jcallahan@justkaizen.com,10/10/2021,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,cdaniel@justkaizen.com
jcallahan@justkaizen.com,05/22/2023,Promotion,Engineering,Engineering,Infrastructure,Infrastructure,P1,P2,Associate Infrastructure Engineer,Infrastructure Engineer,cdaniel@justkaizen.com,cdaniel@justkaizen.com
kwilliams@justkaizen.com,11/26/2024,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,dgarcia2@justkaizen.com
zhuff@justkaizen.com,01/22/2022,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,bwelch@justkaizen.com
thouse@justkaizen.com,02/08/2021,Hire,,Engineering,,Data Engineering,,P1,,Associate Data Engineer,,msmith2@justkaizen.com
smartin@justkaizen.com,02/07/2025,Hire,,Engineering,,AI/ML,,P3,,Senior AI/ML Engineer,,pcarroll@justkaizen.com
jlewis2@justkaizen.com,10/16/2021,Hire,,Engineering,,DevOps & SRE,,P3,,Senior Site Reliability Engineer,,vsandoval@justkaizen.com
jbrown@justkaizen.com,02/10/2022,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,ebrown@justkaizen.com
jbrown@justkaizen.com,09/17/2022,Promotion,Engineering,Engineering,Infrastructure,Infrastructure,P1,P2,Associate Infrastructure Engineer,Infrastructure Engineer,ebrown@justkaizen.com,ebrown@justkaizen.com
jgalloway@justkaizen.com,11/05/2020,Hire,,Engineering,,Data Engineering,,P2,,Data Engineer,,ldixon@justkaizen.com
jgalloway@justkaizen.com,01/27/2023,Promotion,Engineering,Engineering,Data Engineering,Data Engineering,P1,P2,Associate Data Engineer,Data Engineer,ldixon@justkaizen.com,ldixon@justkaizen.com
dbowers@justkaizen.com,05/19/2020,Hire,,Engineering,,AI/ML,,P3,,Senior AI/ML Engineer,,jgutierrez@justkaizen.com
jhenderson@justkaizen.com,12/15/2022,Hire,,Engineering,,Developer Experience,,P1,,Associate DevEx Engineer,,tcowan@justkaizen.com
tcowan@justkaizen.com,02/07/2021,Hire,,Engineering,,Data Engineering,,P2,,Data Engineer,,blopez@justkaizen.com
jhiggins@justkaizen.com,06/12/2023,Hire,,Engineering,,Data Engineering,,P2,,Data Engineer,,jlewis@justkaizen.com
cphillips@justkaizen.com,02/22/2023,Hire,,Engineering,,QA,,P3,,Senior QA Engineer,,jgill@justkaizen.com
cphillips@justkaizen.com,02/04/2024,Promotion,Engineering,Engineering,QA,QA,P2,P3,QA Engineer,Senior QA Engineer,jgill@justkaizen.com,jgill@justkaizen.com
wriley@justkaizen.com,01/14/2021,Hire,,Engineering,,AI/ML,,P3,,Senior AI/ML Engineer,,bwalker2@justkaizen.com
jadkins@justkaizen.com,01/07/2024,Hire,,Engineering,,Security,,P2,,Security Engineer,,jwilliams2@justkaizen.com
asilva@justkaizen.com,05/04/2024,Hire,,Engineering,,Data Engineering,,P2,,Data Engineer,,wriley@justkaizen.com
jfarrell@justkaizen.com,09/10/2021,Hire,,Engineering,,Platform,,P1,,Associate Software Engineer,,rramirez@justkaizen.com
cyu@justkaizen.com,07/03/2024,Hire,,Engineering,,Security,,P3,,Senior Security Engineer,,kkane@justkaizen.com
blopez@justkaizen.com,07/22/2018,Hire,,Engineering,,QA,,P3,,Senior QA Engineer,,crobinson@justkaizen.com
bleonard@justkaizen.com,11/30/2021,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,agonzalez@justkaizen.com
dwilson@justkaizen.com,06/10/2021,Hire,,Engineering,,AI/ML,,P3,,Senior AI/ML Engineer,,skey@justkaizen.com
ssanchez@justkaizen.com,10/22/2022,Hire,,Engineering,,Security,,P3,,Senior Security Engineer,,pharris@justkaizen.com
kharvey@justkaizen.com,10/16/2021,Hire,,Engineering,,AI/ML,,P1,,Associate AI/ML Engineer,,jsoto@justkaizen.com
jsilva@justkaizen.com,08/25/2019,Hire,,Engineering,,Security,,P3,,Senior Security Engineer,,rweber@justkaizen.com
jsilva@justkaizen.com,06/21/2022,Promotion,Engineering,Engineering,Security,Security,P2,P3,Security Engineer,Senior Security Engineer,rweber@justkaizen.com,rweber@justkaizen.com
kdonovan@justkaizen.com,07/28/2020,Hire,,Engineering,,Security,,P2,,Security Engineer,,mross@justkaizen.com
cmoran@justkaizen.com,08/04/2020,Hire,,Engineering,,Developer Experience,,P3,,Senior DevEx Engineer,,rweber@justkaizen.com
cfoster@justkaizen.com,09/17/2021,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,ebrown@justkaizen.com
mevans@justkaizen.com,02/14/2025,Hire,,Engineering,,Data Engineering,,P1,,Associate Data Engineer,,jadkins@justkaizen.com
ewalton@justkaizen.com,12/03/2023,Hire,,Engineering,,Data Engineering,,P2,,Data Engineer,,ljackson@justkaizen.com
ewalton@justkaizen.com,06/19/2024,Promotion,Engineering,Engineering,Data Engineering,Data Engineering,P1,P2,Associate Data Engineer,Data Engineer,ljackson@justkaizen.com,ljackson@justkaizen.com
bellis@justkaizen.com,11/28/2022,Hire,,Engineering,,Platform,,P1,,Associate Software Engineer,,kball@justkaizen.com
zferrell@justkaizen.com,05/13/2018,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,dchristian@justkaizen.com
zferrell@justkaizen.com,09/13/2021,Promotion,Engineering,Engineering,Platform,Platform,P2,P3,Software Engineer,Senior Software Engineer,dchristian@justkaizen.com,dchristian@justkaizen.com
blewis@justkaizen.com,12/20/2022,Hire,,Engineering,,Infrastructure,,P3,,Senior Infrastructure Engineer,,pthornton@justkaizen.com
dmahoney@justkaizen.com,02/13/2021,Hire,,Engineering,,AI/ML,,P3,,Senior AI/ML Engineer,,vsandoval@justkaizen.com
ssuarez@justkaizen.com,04/16/2022,Hire,,Engineering,,Security,,P2,,Security Engineer,,cgray@justkaizen.com
jmoore@justkaizen.com,02/04/2022,Hire,,Engineering,,Platform,,P1,,Associate Software Engineer,,jsoto@justkaizen.com
swarner@justkaizen.com,12/13/2022,Hire,,Engineering,,Infrastructure,,P3,,Senior Infrastructure Engineer,,lallen@justkaizen.com
larcher@justkaizen.com,06/19/2022,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,dchristian@justkaizen.com
msmith@justkaizen.com,11/24/2021,Hire,,Engineering,,Platform,,P1,,Associate Software Engineer,,zhicks@justkaizen.com
revans@justkaizen.com,05/23/2021,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,nwagner@justkaizen.com
mmcmillan@justkaizen.com,04/05/2024,Hire,,Engineering,,AI/ML,,P1,,Associate AI/ML Engineer,,jwright@justkaizen.com
cwilson@justkaizen.com,10/28/2022,Hire,,Engineering,,QA,,P3,,Senior QA Engineer,,wsimpson@justkaizen.com
atran@justkaizen.com,02/13/2022,Hire,,Engineering,,Infrastructure,,P3,,Senior Infrastructure Engineer,,dgarcia2@justkaizen.com
djacobs@justkaizen.com,03/12/2021,Hire,,Engineering,,Data Engineering,,P1,,Associate Data Engineer,,alee@justkaizen.com
mharris@justkaizen.com,03/30/2022,Hire,,Engineering,,Platform,,P2,,Software Engineer,,jadkins2@justkaizen.com
mbaker@justkaizen.com,01/28/2022,Hire,,Engineering,,AI/ML,,P2,,AI/ML Engineer,,sdecker@justkaizen.com
jwhitehead@justkaizen.com,10/15/2021,Hire,,Engineering,,AI/ML,,P2,,AI/ML Engineer,,jmartin@justkaizen.com
jwhitehead@justkaizen.com,01/27/2023,Promotion,Engineering,Engineering,AI/ML,AI/ML,P1,P2,Associate AI/ML Engineer,AI/ML Engineer,jmartin@justkaizen.com,jmartin@justkaizen.com
rdavis@justkaizen.com,04/23/2021,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,lkennedy@justkaizen.com
jhill@justkaizen.com,09/11/2022,Hire,,Engineering,,Security,,P2,,Security Engineer,,kwilliams@justkaizen.com
jhill@justkaizen.com,12/13/2023,Promotion,Engineering,Engineering,Security,Security,P1,P2,Associate Security Engineer,Security Engineer,kwilliams@justkaizen.com,kwilliams@justkaizen.com
awise@justkaizen.com,07/06/2024,Hire,,Engineering,,Data Engineering,,P2,,Data Engineer,,jray@justkaizen.com
mgreen@justkaizen.com,08/06/2021,Hire,,Engineering,,QA,,P2,,QA Engineer,,cgray@justkaizen.com
parnold@justkaizen.com,01/29/2025,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,ssanchez2@justkaizen.com
jsmith@justkaizen.com,12/30/2022,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,jwilliams@justkaizen.com
jsmith@justkaizen.com,01/13/2024,Promotion,Engineering,Engineering,Infrastructure,Infrastructure,P1,P2,Associate Infrastructure Engineer,Infrastructure Engineer,jwilliams@justkaizen.com,jwilliams@justkaizen.com
bware@justkaizen.com,01/31/2024,Hire,,Engineering,,AI/ML,,P2,,AI/ML Engineer,,jclark2@justkaizen.com
rgardner@justkaizen.com,09/21/2021,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,csalinas@justkaizen.com
raguilar@justkaizen.com,03/08/2020,Hire,,Engineering,,AI/ML,,P3,,Senior AI/ML Engineer,,bwalker2@justkaizen.com
canderson@justkaizen.com,09/08/2022,Hire,,Engineering,,Platform,,P2,,Software Engineer,,sgilbert@justkaizen.com
enolan@justkaizen.com,09/20/2020,Hire,,Engineering,,Security,,P2,,Security Engineer,,dgraham@justkaizen.com
enolan@justkaizen.com,02/08/2022,Promotion,Engineering,Engineering,Security,Security,P1,P2,Associate Security Engineer,Security Engineer,dgraham@justkaizen.com,dgraham@justkaizen.com
rvalencia@justkaizen.com,02/17/2023,Hire,,Engineering,,Data Engineering,,P1,,Associate Data Engineer,,joliver@justkaizen.com
sclark@justkaizen.com,09/30/2020,Hire,,Engineering,,Platform,,P2,,Software Engineer,,cphillips@justkaizen.com
dgarcia@justkaizen.com,05/26/2021,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,jmorgan@justkaizen.com
phenson@justkaizen.com,12/16/2021,Hire,,Engineering,,AI/ML,,P2,,AI/ML Engineer,,zrice@justkaizen.com
phenson@justkaizen.com,04/30/2023,Promotion,Engineering,Engineering,AI/ML,AI/ML,P1,P2,Associate AI/ML Engineer,AI/ML Engineer,zrice@justkaizen.com,zrice@justkaizen.com
joliver@justkaizen.com,08/08/2022,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,jadkins2@justkaizen.com
