Question_ID,Reviewee_Email,Cycle_Name,Reviewer_Name,Reviewer_email,Reviewee_Name,Question,Score,Score_Description,Calibrated_Score,Calibrated_Score_Description,Response_Text,Response_Type
Q368c16ad1952,jbishop@justkaizen.com,2021 Mid-Year Review Cycle,Matthew Harrington,mharrington@justkaizen.com,Julie Bishop,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q9b5f415a9d2c,dmartinez@justkaizen.com,2021 Mid-Year Review Cycle,Matthew Kerr,mkerr@justkaizen.com,Danielle Martinez,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q77bd2eb36b8e,pobrien@justkaizen.com,2021 Mid-Year Review Cycle,Melissa Martinez,mmartinez@justkaizen.com,Pamela Obrien,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q9f99bb683402,dmann@justkaizen.com,2021 Mid-Year Review Cycle,Cody Williams,cwilliams@justkaizen.com,David Mann,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q2f1d951a0d07,mbradshaw@justkaizen.com,2021 Mid-Year Review Cycle,Eric Vasquez,evasquez@justkaizen.com,Michael Bradshaw,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q5b958ebf3886,mlyons@justkaizen.com,2021 Mid-Year Review Cycle,Christine Lynch,clynch@justkaizen.com,Melissa Lyons,Performance Category,5,5 - Does Not Meet Expectations, --, --, --,manager
Q00bb74edd2cb,areynolds@justkaizen.com,2021 Mid-Year Review Cycle,Sandra Jimenez,sjimenez@justkaizen.com,Amanda Reynolds,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qcef5ca17c810,twhite@justkaizen.com,2021 Mid-Year Review Cycle,Gregory Cook,gcook@justkaizen.com,Thomas White,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qd381e7afc48f,ccox@justkaizen.com,2021 Mid-Year Review Cycle,Donna Martinez,dmartinez2@justkaizen.com,Cody Cox,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q88a5f0661073,pharris@justkaizen.com,2021 Mid-Year Review Cycle,Pamela Obrien,pobrien@justkaizen.com,Peter Harris,Performance Category,1,1 - Outstanding, --, --, --,manager
Q2daa301e6ba0,kduarte@justkaizen.com,2021 Mid-Year Review Cycle,Joseph Hill,jhill2@justkaizen.com,Kevin Duarte,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q73c00c19e448,wsimpson@justkaizen.com,2021 Mid-Year Review Cycle,Bradley Cortez,bcortez@justkaizen.com,William Simpson,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q62c427b2f31d,nmalone@justkaizen.com,2021 Mid-Year Review Cycle,Cody Williams,cwilliams@justkaizen.com,Nathan Malone,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q46fae0cc81bd,phamilton@justkaizen.com,2021 Mid-Year Review Cycle,Matthew Kerr,mkerr@justkaizen.com,Paul Hamilton,Performance Category,5,5 - Does Not Meet Expectations, --, --, --,manager
Q7829eb11cb08,cdurham@justkaizen.com,2021 Mid-Year Review Cycle,Jesse Chambers,jchambers@justkaizen.com,Cynthia Durham,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q867a77365530,mcoleman@justkaizen.com,2021 Mid-Year Review Cycle,Erika Vang,evang@justkaizen.com,Mark Coleman,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q2ff8cc54bf26,mle@justkaizen.com,2021 Mid-Year Review Cycle,Charles Lester,clester@justkaizen.com,Michael Le,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Qcb3a470df791,eburgess@justkaizen.com,2021 Mid-Year Review Cycle,Nathan Schmitt,nschmitt@justkaizen.com,Edward Burgess,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q0775e751ea26,rscott@justkaizen.com,2021 Mid-Year Review Cycle,Albert Ballard,aballard@justkaizen.com,Ronald Scott,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qb44634bc618a,staylor@justkaizen.com,2021 Mid-Year Review Cycle,Alexander Henson,ahenson@justkaizen.com,Sydney Taylor,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q0964129adf3c,ahenson@justkaizen.com,2021 Mid-Year Review Cycle,James Greene,jgreene@justkaizen.com,Alexander Henson,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q9a3273548005,mpaul@justkaizen.com,2021 Mid-Year Review Cycle,Albert Ballard,aballard@justkaizen.com,Meagan Paul,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qafa2be1d2839,bjennings@justkaizen.com,2021 Mid-Year Review Cycle,David Thompson,dthompson@justkaizen.com,Brett Jennings,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q348c7b1867a5,bhubbard@justkaizen.com,2021 Mid-Year Review Cycle,Gary Martinez,gmartinez@justkaizen.com,Barry Hubbard,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q87ad22ace88c,agarrison@justkaizen.com,2021 Mid-Year Review Cycle,David Thompson,dthompson@justkaizen.com,Aaron Garrison,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q4cd3ec9b391b,bgordon@justkaizen.com,2021 Mid-Year Review Cycle,Christine Taylor,ctaylor@justkaizen.com,Brian Gordon,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Qd4119db7583d,rdavis2@justkaizen.com,2021 Mid-Year Review Cycle,Angela Williams,awilliams@justkaizen.com,Ronald Davis,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q62745350d54c,hortega@justkaizen.com,2021 Mid-Year Review Cycle,Edward Brooks,ebrooks@justkaizen.com,Heather Ortega,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qc2b975046c56,mparker2@justkaizen.com,2021 Mid-Year Review Cycle,Matthew Thompson,mthompson@justkaizen.com,Michele Parker,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qf559b2eb0775,jcampbell@justkaizen.com,2021 Mid-Year Review Cycle,Sergio Knight,sknight@justkaizen.com,Jeffrey Campbell,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q3dcfb471be08,mwilliams@justkaizen.com,2021 Mid-Year Review Cycle,Robert Young,ryoung@justkaizen.com,Michael Williams,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qcfa89ef259f0,fsolis@justkaizen.com,2021 Mid-Year Review Cycle,Michelle Butler,mbutler@justkaizen.com,Frederick Solis,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qd88d6754015a,ssanchez3@justkaizen.com,2021 Mid-Year Review Cycle,Brian Bruce,bbruce@justkaizen.com,Sarah Sanchez,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q3af469e49595,tbailey@justkaizen.com,2021 Mid-Year Review Cycle,Christopher Dixon,cdixon@justkaizen.com,Taylor Bailey,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q6dd2ebbe7adb,mthompson@justkaizen.com,2021 Mid-Year Review Cycle,Patricia Snyder,psnyder@justkaizen.com,Matthew Thompson,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q6b6189005ac7,jthompson@justkaizen.com,2021 Mid-Year Review Cycle,Monica Gallagher,mgallagher@justkaizen.com,Jonathan Thompson,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qba756935ef43,adavis2@justkaizen.com,2021 Mid-Year Review Cycle,Laura Edwards,ledwards@justkaizen.com,Austin Davis,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qcd7cb7c11223,icox@justkaizen.com,2021 Mid-Year Review Cycle,Ashley Singleton,asingleton@justkaizen.com,Ivan Cox,Performance Category,5,5 - Does Not Meet Expectations, --, --, --,manager
Q0a3cfcc16d02,dmoody@justkaizen.com,2021 Mid-Year Review Cycle,Christopher Murphy,cmurphy@justkaizen.com,Debra Moody,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Qe48da399b604,jbauer@justkaizen.com,2021 Mid-Year Review Cycle,Ashley Singleton,asingleton@justkaizen.com,Jason Bauer,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q4058fcbb5e11,dbutler@justkaizen.com,2021 Mid-Year Review Cycle,Holly Reyes,hreyes@justkaizen.com,David Butler,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qb4ff1377c1f9,nfuller@justkaizen.com,2021 Mid-Year Review Cycle,Kathleen Burton,kburton@justkaizen.com,Nicholas Fuller,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q44a2f298be03,ewilliams2@justkaizen.com,2021 Mid-Year Review Cycle,Christopher Murphy,cmurphy@justkaizen.com,Evelyn Williams,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q6368b7990df6,plee@justkaizen.com,2021 Mid-Year Review Cycle,Alexander Spencer,aspencer@justkaizen.com,Paul Lee,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Qfe90c6e58b64,vcrawford@justkaizen.com,2021 Mid-Year Review Cycle,Charles Tyler,ctyler@justkaizen.com,Valerie Crawford,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q899325ca3995,howen@justkaizen.com,2021 Mid-Year Review Cycle,Kristy Bryan,kbryan@justkaizen.com,Heidi Owen,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q125b06c56205,aosborne@justkaizen.com,2021 Mid-Year Review Cycle,Kathryn Williams,kwilliams2@justkaizen.com,Austin Osborne,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Qbafb413633fb,shayes@justkaizen.com,2021 Mid-Year Review Cycle,Joanna Frazier,jfrazier@justkaizen.com,Samuel Hayes,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q656605b1eef7,tlittle@justkaizen.com,2021 Mid-Year Review Cycle,Kathleen Burton,kburton@justkaizen.com,Tammy Little,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q7346fecb7fe0,heverett@justkaizen.com,2021 Mid-Year Review Cycle,Erin Austin,eaustin@justkaizen.com,Hannah Everett,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q6c0a0ea02d5e,jhoffman2@justkaizen.com,2021 Mid-Year Review Cycle,Christian Vaughn,cvaughn@justkaizen.com,Jacqueline Hoffman,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q57aec7507026,ledwards@justkaizen.com,2021 Mid-Year Review Cycle,Alicia Edwards,aedwards@justkaizen.com,Laura Edwards,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qf00e4cc4d857,kgriffith@justkaizen.com,2021 Mid-Year Review Cycle,Phillip Jimenez,pjimenez@justkaizen.com,Kenneth Griffith,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q8bbb4a6c5c40,bjackson@justkaizen.com,2021 Mid-Year Review Cycle,Jessica Khan,jkhan2@justkaizen.com,Brandy Jackson,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q98e1daf4cc4c,llee2@justkaizen.com,2021 Mid-Year Review Cycle,Curtis Maynard,cmaynard@justkaizen.com,Lisa Lee,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q3f04f6b84231,tballard@justkaizen.com,2021 Mid-Year Review Cycle,Curtis Maynard,cmaynard@justkaizen.com,Troy Ballard,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q7885c24d8ab9,swoods@justkaizen.com,2021 Mid-Year Review Cycle,Anthony Gutierrez,agutierrez@justkaizen.com,Sherry Woods,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Qb20edf8def1e,tdavis2@justkaizen.com,2021 Mid-Year Review Cycle,Tami Salas,tsalas@justkaizen.com,Terry Davis,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qb49733880c8a,mbrown2@justkaizen.com,2021 Mid-Year Review Cycle,Mason Steele,msteele2@justkaizen.com,Melissa Brown,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qb140da3dafde,jpadilla@justkaizen.com,2021 Mid-Year Review Cycle,Christine Aguilar,caguilar@justkaizen.com,Jeremy Padilla,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q143680e06562,rcummings@justkaizen.com,2021 Mid-Year Review Cycle,Shane Miller,smiller2@justkaizen.com,Robert Cummings,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q9387334fb763,jvelasquez@justkaizen.com,2021 Mid-Year Review Cycle,Ralph Good,rgood@justkaizen.com,James Velasquez,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q6623c33fcac4,mstephens@justkaizen.com,2021 Mid-Year Review Cycle,James Young,jyoung@justkaizen.com,Michael Stephens,Performance Category,5,5 - Does Not Meet Expectations, --, --, --,manager
Q123441c087f0,ajohnson@justkaizen.com,2021 Mid-Year Review Cycle,Micheal Sanders,msanders@justkaizen.com,Ashlee Johnson,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q8a1091f8ec26,dcabrera@justkaizen.com,2021 Mid-Year Review Cycle,Eric Zimmerman,ezimmerman@justkaizen.com,Donna Cabrera,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q603269b3ea4e,afry@justkaizen.com,2021 Mid-Year Review Cycle,Robert Marquez,rmarquez@justkaizen.com,Amy Fry,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qac56fd84e209,jcompton@justkaizen.com,2021 Mid-Year Review Cycle,Courtney Smith,csmith2@justkaizen.com,Jon Compton,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qd8c171b738ca,mhansen@justkaizen.com,2021 Mid-Year Review Cycle,Daniel Thomas,dthomas2@justkaizen.com,Misty Hansen,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Qfc18faac497f,dmunoz@justkaizen.com,2021 Mid-Year Review Cycle,Caroline Cortez,ccortez@justkaizen.com,David Munoz,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q0f2107fdfee3,jhart@justkaizen.com,2021 Mid-Year Review Cycle,Anna Rice,arice@justkaizen.com,Jennifer Hart,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q3c34a1064417,rlandry@justkaizen.com,2021 Mid-Year Review Cycle,Nathaniel Lee,nlee@justkaizen.com,Ryan Landry,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q3c9c8cd30fd0,mjensen@justkaizen.com,2021 Mid-Year Review Cycle,Dorothy Hughes,dhughes@justkaizen.com,Mary Jensen,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Qc7a80f58ec57,amoreno@justkaizen.com,2021 Mid-Year Review Cycle,Daniel Shields,dshields@justkaizen.com,Alexandra Moreno,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q3581622be13c,bhinton@justkaizen.com,2021 Mid-Year Review Cycle,Katherine Johnston,kjohnston@justkaizen.com,Brenda Hinton,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qb97585e4ffae,mwalters@justkaizen.com,2021 Mid-Year Review Cycle,Nathaniel Mason,nmason@justkaizen.com,Michael Walters,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q095d6ba451c2,agomez@justkaizen.com,2021 Mid-Year Review Cycle,Jennifer Goodwin,jgoodwin@justkaizen.com,Anthony Gomez,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qc9ec0cb424ce,jtaylor2@justkaizen.com,2021 Mid-Year Review Cycle,Rose Long,rlong@justkaizen.com,James Taylor,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qbfa61b0f4825,jwashington2@justkaizen.com,2021 Mid-Year Review Cycle,Anthony Gomez,agomez@justkaizen.com,Jennifer Washington,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q14b56a436f99,lgonzalez@justkaizen.com,2021 Mid-Year Review Cycle,William Mendoza,wmendoza@justkaizen.com,Linda Gonzalez,Performance Category,1,1 - Outstanding, --, --, --,manager
Q909483dec34f,rlong@justkaizen.com,2021 Mid-Year Review Cycle,William Mendoza,wmendoza@justkaizen.com,Rose Long,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q3ebaa91d0da2,jclark3@justkaizen.com,2021 Mid-Year Review Cycle,Carrie Moore,cmoore@justkaizen.com,Jesse Clark,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q26ff717eaf4d,jjohnson5@justkaizen.com,2021 Mid-Year Review Cycle,Leslie Price,lprice@justkaizen.com,Jessica Johnson,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Qfaddb41d5025,mharris2@justkaizen.com,2021 Mid-Year Review Cycle,Emma Evans,eevans@justkaizen.com,Michael Harris,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qad2b421ebcd8,agarcia2@justkaizen.com,2021 Mid-Year Review Cycle,Erika Ellis,eellis@justkaizen.com,Arthur Garcia,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q0c5d54ab15e9,dhuffman@justkaizen.com,2021 Mid-Year Review Cycle,Anthony Hurst,ahurst@justkaizen.com,Deborah Huffman,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q290ce5033faf,btorres@justkaizen.com,2021 Mid-Year Review Cycle,Rachel Stevens,rstevens@justkaizen.com,Bruce Torres,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qbde4d97b8cd3,ahoward@justkaizen.com,2021 Mid-Year Review Cycle,Joshua Miller,jmiller2@justkaizen.com,Amy Howard,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Qee17afd361f7,cellis@justkaizen.com,2021 Mid-Year Review Cycle,Gregg Fleming,gfleming@justkaizen.com,Carol Ellis,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q9e00fd748bd2,fpadilla@justkaizen.com,2021 Mid-Year Review Cycle,Emily Hayes,ehayes2@justkaizen.com,Franklin Padilla,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q5c3f23a8e47b,plowe@justkaizen.com,2021 Mid-Year Review Cycle,Kevin Bailey,kbailey@justkaizen.com,Pam Lowe,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qe57d044dc10a,jmiles@justkaizen.com,2021 Mid-Year Review Cycle,Beth Norman,bnorman@justkaizen.com,Jason Miles,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q99733ecfc1e0,aherrera2@justkaizen.com,2021 Mid-Year Review Cycle,Beth Norman,bnorman@justkaizen.com,Angela Herrera,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q748be4df9d9d,cmorton@justkaizen.com,2021 Mid-Year Review Cycle,Ashley Berry,aberry@justkaizen.com,Christina Morton,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q0e100c26e9ad,rbrown@justkaizen.com,2021 Mid-Year Review Cycle,Kenneth Jones,kjones@justkaizen.com,Ryan Brown,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Qd60e86812f3b,eharmon@justkaizen.com,2021 Mid-Year Review Cycle,Beth Norman,bnorman@justkaizen.com,Eric Harmon,Performance Category,1,1 - Outstanding, --, --, --,manager
Qa6c699de60e8,bnorman@justkaizen.com,2021 Mid-Year Review Cycle,Jason Cortez,jcortez@justkaizen.com,Beth Norman,Performance Category,1,1 - Outstanding, --, --, --,manager
Qfb47d30443db,stran@justkaizen.com,2021 Mid-Year Review Cycle,Regina Jarvis,rjarvis@justkaizen.com,Scott Tran,Performance Category,1,1 - Outstanding, --, --, --,manager
Qf98a032e86c8,jvargas@justkaizen.com,2021 Mid-Year Review Cycle,Tina Gordon,tgordon@justkaizen.com,Julie Vargas,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qe32b5194ec26,msweeney@justkaizen.com,2021 Mid-Year Review Cycle,Travis Conner,tconner@justkaizen.com,Mary Sweeney,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q3dc90212954b,djones@justkaizen.com,2021 Mid-Year Review Cycle,Kathryn Price,kprice@justkaizen.com,Denise Jones,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q2f90d5ae39b2,dchan@justkaizen.com,2021 Mid-Year Review Cycle,Robert Wolfe,rwolfe2@justkaizen.com,Dale Chan,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qfc09f9ad5182,hpalmer@justkaizen.com,2021 Mid-Year Review Cycle,Alex Willis,awillis@justkaizen.com,Heather Palmer,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q340be83220b4,jdurham@justkaizen.com,2021 Mid-Year Review Cycle,Sally Jones,sjones3@justkaizen.com,John Durham,Performance Category,5,5 - Does Not Meet Expectations, --, --, --,manager
Q4ad0b72fc670,kprice@justkaizen.com,2021 Mid-Year Review Cycle,Melissa Mckenzie,mmckenzie@justkaizen.com,Kathryn Price,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q3be64b5f5d6c,vgarcia@justkaizen.com,2021 Mid-Year Review Cycle,Melissa Mckenzie,mmckenzie@justkaizen.com,Valerie Garcia,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q56b06a006d0a,cbradford@justkaizen.com,2021 Mid-Year Review Cycle,Carrie Novak,cnovak@justkaizen.com,Colleen Bradford,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Qb7cdd56cbbe3,mmeza@justkaizen.com,2021 Mid-Year Review Cycle,Sarah Valencia,svalencia@justkaizen.com,Michael Meza,Performance Category,3,3 - Strong Contributor, --, --, --,manager
